model_type|list_features|date_time_run|user|special_description|cv_elapsed_time|cv_area_under_roc|cv_area_under_pr|cv_best_coefficients|cv_best_hyperparameters|val_elapsed_time|val_area_under_roc|val_area_under_pr|val_best_coefficients|val_true_positive|val_true_negative|val_false_positive|val_false_negative
Logistic|['ScoreDiff'; 'SecLeftTotalInverseTimesScoreDiff'; 'shotOnGoal_diff'; 'freeThrow_diff']|04/19/2022 21:03:44|||167.64|0.8216982043229347|0.8227359194601054|[0.85341583 0.11071112 0.0563926  0.08893541]|{'maxIter': 20; 'regParam': 0.1}|36.21|0.8171769176756193|0.8189800558860015|[0.85383672 0.1105404  0.0560652  0.08887472]|396512|393847|145219|142554
Logistic|['ScoreDiff']|04/19/2022 21:09:33|||122.68|0.8210352908981218|0.8215723770648833|[0.86761013]|{'maxIter': 10; 'regParam': 0.1}|24.85|0.8178599585196019|0.8197850153745125|[0.8680421]|382070|409784|129282|156996
Logistic|['ScoreDiff'; 'SecLeftTotal']|04/19/2022 21:15:13|||161.08|0.8210156930949863|0.8228923726925683|[ 3.61450306e-01 -6.09093176e-05]|{'maxIter': 20; 'regParam': 0.5}|26.04|0.8174615826100621|0.8199858749699279|[ 3.61589935e-01 -3.20311659e-17]|385499|406355|132711|153567
Support Vector Machine|['ScoreDiff']|04/19/2022 21:15:44|||1016.26|0.8210352908981218|0.8215723770648833|[1.62930303]|{'aggregationDepth': 3; 'maxIter': 10}|37.39|0.8178599585196019|0.8197850153745125|[1.60261335]|409784|382070|156996|129282
Logistic|['ScoreDiff']|04/19/2022 21:33:35|||119.04|0.8210352908981218|0.8215723770648833|[0.86761013]|{'maxIter': 10; 'regParam': 0.1}|26.95|0.8178599585196019|0.8197850153745125|[0.8680421]|382070|409784|129282|156996
Support Vector Machine|['assist_diff'; 'turnover_diff'; 'block_diff'; 'foul_diff'; 'rebound_diff'; 'shotOnGoal_diff'; 'freeThrow_diff']|04/19/2022 21:40:14|||436.31|0.775533855259014|0.7750749987663235|"[ 0.5979122  -0.9605084  -0.20149698  0.06442493  0.97870088 -0.56860559
 -0.16539977]"|{'aggregationDepth': 5; 'maxIter': 50}|43.35|0.7488031158233966|0.7428011349725916|"[ 0.59827504 -0.96163288 -0.20303524  0.06901805  0.97886285 -0.56995124
 -0.16792371]"|365248|366633|172433|173818
Logistic|['assist_diff'; 'turnover_diff'; 'block_diff'; 'foul_diff'; 'rebound_diff'; 'shotOnGoal_diff'; 'freeThrow_diff']|04/19/2022 21:48:37|||149.33|0.7675718958068939|0.7664422587770702|"[ 0.46858549 -0.28011787 -0.18520076  0.0320722   0.3881989  -0.01390369 0.11532364]"|{'maxIter': 20; 'regParam': 0.1}|31.32|0.7361648772604337|0.728907940045166|"[ 0.46868643 -0.28009306 -0.18557872  0.03419769  0.38822465 -0.01393952 0.11487433]"|359938|361323|177743|179128
Support Vector Machine|['assist_team_cnt'; 'assist_opponent_cnt'; 'turnover_team_cnt'; 'turnover_opponent_cnt'; 'block_team_cnt'; 'block_opponent_cnt'; 'foul_team_cnt'; 'foul_opponent_cnt'; 'rebound_team_cnt'; 'rebound_opponent_cnt'; 'shotOnGoal_team_cnt'; 'shotOnGoal_opponent_cnt'; 'freeThrow_team_cnt'; 'freeThrow_opponent_cnt']|04/19/2022 21:54:39|||530.62|0.7717155666213326|0.7712252582149813|"[ 1.04066526 -1.0512708  -0.85398575  0.87126782 -0.26454631  0.26129259
  0.06744006 -0.06785258  1.66769336 -1.67761008 -0.81739576  0.86369267
  0.14643385 -0.16300587]"|{'aggregationDepth': 3; 'maxIter': 50}|45.16|0.6203040818947227|0.6112552503934793|"[ 1.0664408  -0.95452918 -3.67365067  3.65077    -3.62209031  3.01033061
  4.81354636 -4.43213856 -0.          0.         -5.73707536  5.90976216
  0.         -0.        ]"|309878|315619|223447|229188
Logistic|['assist_team_cnt'; 'assist_opponent_cnt'; 'turnover_team_cnt'; 'turnover_opponent_cnt'; 'block_team_cnt'; 'block_opponent_cnt'; 'foul_team_cnt'; 'foul_opponent_cnt'; 'rebound_team_cnt'; 'rebound_opponent_cnt'; 'shotOnGoal_team_cnt'; 'shotOnGoal_opponent_cnt'; 'freeThrow_team_cnt'; 'freeThrow_opponent_cnt']|04/19/2022 22:04:39|||159.24|0.751772173394515|0.7485543447316001|"[ 0.34838297 -0.34814336 -0.16185274  0.16326928 -0.14656206  0.14795003
  0.03178043 -0.03216227  0.21975448 -0.22017357  0.02635428 -0.02743221
  0.09673986 -0.09734201]"|{'maxIter': 20; 'regParam': 0.1}|34.49|0.7214917685686465|0.7133331589701531|"[ 0.34837548 -0.34837548 -0.1626293   0.1626293  -0.14739055  0.14739055
  0.03335021 -0.03335021  0.22009939 -0.22009939  0.02692804 -0.02692804
  0.09703067 -0.09703067]"|354926|356311|182755|184140
Support Vector Machine|['assist_diff'; 'turnover_diff'; 'block_diff'; 'foul_diff'; 'rebound_diff']|04/19/2022 22:19:44|||371.3|0.7657307952281468|0.7646332660244564|[ 0.6542421  -0.55490037 -0.31815427  0.15688776  0.70849365]|{'aggregationDepth': 5; 'maxIter': 10}|27.88|0.7384109425385504|0.7318674588712212|[ 0.6553065  -0.55416733 -0.3191488   0.16039402  0.70744744]|360782|363095|175971|178284
